,label,text_final
0,2,casper lần đầu tấn công thị trường điện tử điện lạnh cao cấp
1,2,thủ tướng yêu cầu gỡ khó quy định phòng cháy chữa cháy
2,2,thành tỷ phú hong kong từ số vốn <num> usd
3,2,bất động sản công nghiệp bất ngờ giảm tốc
4,2,người dân miền nam chi gần <num> tỷ mua vé số trong ba tháng
5,2,tín hiệu phục hồi việc làm trong ngành sản xuất
6,2,doanh nghiệp ngành điều lo phá sản
7,2,bộ xây dựng số doanh nghiệp địa ốc ngừng hoạt động tăng
8,2,phí vận chuyển đường biển xuống mức trước covid19
9,2,sab  sức mua giảm bia sài gòn vẫn lãi hơn <num> tỷ đồng mỗi ngày
10,2,hàng việt xuất sang nga giảm mạnh
11,2,đại gia sân bay acv dự kiến doanh thu vượt mức trước dịch
12,2,vib báo lãi quý i tăng <num>
13,2,vre  vincom retail đặt mục tiêu doanh thu kỷ lục hơn <num> tỷ đồng
14,2,chứng khoán sẽ thế nào sau chuỗi tăng dài nhất <num> tháng
15,2,sun property cùng ncb tri ân khách hàng bằng loạt ưu đãi
16,2,giá nhà ở các nước giàu đang ra sao
17,2,đề xuất tp hcm thí điểm mô hình đô thị phát triển theo dự án giao thông
18,2,gdp trung quốc tăng vượt dự báo
19,2,sai lầm trong tiết kiệm tiền
20,2,chuỗi cung ứng toàn cầu hồi phục nhưng đã đổi khác
21,2,mb giành giải thưởng kép từ the asset
22,2,cái giá của sự an toàn với các ngân hàng châu âu
23,2,ông hoàng nam tiến thôi làm chủ tịch fpt telecom
24,2,tổ hợp biển hồ tạo sóng royal wave park xác lập kỷ lục thế giới
25,2,đề xuất thu tiền cọc nhà đất trên giấy không quá <num>
26,2,cách một nhà sản xuất đức tránh ảnh hưởng từ xung đột ukraine
27,2,khủng hoảng tại credit suisse
28,2,vietcombank triển khai công nghệ chạm điện thoại để thanh toán
29,2,chỉ báo obv trong chứng khoán là gì
30,2,ngân hàng có thể được mua lại ngay trái phiếu doanh nghiệp
31,2,thu giữ hơn <num> tấn đường không có hạn sử dụng
32,2,ctd  coteccons đặt mục tiêu lãi gấp <num> lần năm ngoái
33,2,giao dịch đất nền phía nam giảm hơn <num>
34,2,phát hiện sai phạm trong bán bảo hiểm qua ngân hàng
35,2,doanh nghiệp chật vật hoàn thuế giá trị gia tăng
36,2,nghi vấn chiêu ve sầu thoát xác của hãng buôn dầu nga
37,2,doanh nghiệp thanh hóa kêu khó vì quy định phòng cháy chữa cháy
38,2,thủ tướng các ngân hàng phải giảm lãi suất
39,2,trump tụt hơn <num> bậc trong danh sách tỷ phú thế giới
40,2,gdp ukraine giảm gần <num> năm <num>
41,2,gelex có chủ tịch hội đồng quản trị mới
42,2,chính phủ đề nghị quốc hội xem xét giảm thuế vat vào tháng <num>
43,2,chứng khoán quay đầu giảm
44,2,giám đốc kinh doanh casper việt nam chính sách bán hàng đề cao sự thấu hiểu
45,2,ngân hàng châu á hút tiền sau biến động tài chính ở phương tây
46,2,parkson việt nam nộp đơn phá sản
47,2,thủ tướng cần giãn hoãn nợ tạo sinh kế cho người dân
48,2,cục trưởng phòng vệ thương mại làm chủ tịch ủy ban cạnh tranh quốc gia
